key=the   value=22687
key=apparently   value=32
key=difficulties   value=7
key=left,   value=11
key=disposal,   value=2
key=paying   value=18
key=true   value=92
key=convenient   value=8
key=_advancing   value=1
key=above.   value=3
key=shown.   value=2
key=having   value=141
key=both   value=166
key=_act   value=1
key=have:   value=1
key=free   value=98
key=considers   value=3
key=counting   value=10
key=themselves   value=65
key=up.   value=21
key=he,   value=62
key=openings,   value=8
key=arise   value=13
key=acquainted   value=10
key=...   value=12
key=most   value=430
key=q;   value=9
key=complicated   value=7
key=lose;   value=1
key=easily.   value=3
key=castled   value=2
key=obtain   value=31
key=otherwise   value=13
key=...b   value=1
key=frequent   value=25
key=b.   value=22
key=leave   value=61
key=(this   value=14
key=moving   value=36
key=b;   value=11
key=variations,   value=2
key=knowing   value=17
key=carry   value=32
key=foundation   value=67
key=weak   value=42
key=accurate   value=2
key=separately   value=2
key=value,   value=7
key=prove   value=26
key=stronger   value=17
key=pawns,   value=16
key=queen.   value=5
key=changed   value=15
key=_defensive_   value=1
key=sometimes   value=157
key=reached   value=23
key=them   value=555
key=open   value=119
key=theoretically   value=3
key={26}   value=1
key=reply   value=13
key=out_,   value=1
key=replies   value=3
key=5...b   value=1
key=point_.   value=1
key=object,   value=5
key=view   value=59
key=analysis   value=3
key=7...b   value=1
key=first,   value=37
key=exceptional   value=8
key=second,   value=6
key=doubled   value=4
key=puts   value=10
key=initiative_,   value=2
key=expounded   value=3
key=mind   value=90
key=secure   value=14
key=viz.,   value=3
key=respectively,   value=3
key=importance._   value=1
key={29}   value=1
key=sole   value=11
key=initiative.   value=3
key=understood.   value=5
key=present   value=151
key=train   value=25
key=finding   value=12
key=assumes   value=1
key=wrong.   value=4
key=pawns_   value=1
key=ample   value=21
key=relinquish   value=1
key=kt.   value=3
key=facilitating   value=1
key=penalty   value=1
key=4...b   value=1
key=perfectly   value=18
key=alternatives   value=1
key=development,   value=22
key=suffice   value=7
key=armour,   value=1
key=delay   value=3
key=agree   value=33
key=discussions   value=1
key=proficient   value=1
key=developed   value=9
key=loses   value=15
key=black,   value=25
key=left   value=151
key=warned   value=3
key=indulged   value=1
key=shown)   value=1
key=recaptured   value=1
key=comes--   value=1
key=help   value=60
key=inferior   value=6
key=miss   value=14
key=traps--in   value=1
key=search   value=12
key=expect   value=20
key=solid   value=29
key=i.e.   value=2
key={36}   value=1
key=suppose,   value=11
key=chess--   value=1
key=two._   value=1
key=principle.   value=3
key=principal   value=32
key=22.--the   value=1
key=why.)   value=1
key={37}   value=1
key=soon   value=108
key=pawn)   value=1
key=important,   value=8
key=king.)   value=1
key=consist   value=7
key=timing   value=1
key=previously.[2]   value=1
key=logical   value=3
key=easy   value=27
key=opposition,   value=4
key=24,   value=5
key=draw.   value=8
key=whoever   value=14
key=first.   value=10
key=adversary's   value=2
key=command   value=19
key=various   value=24
key=ease   value=11
key=faster   value=2
key=player   value=18
key=him,   value=135
key=passage   value=27
key=between   value=143
key=opposition;   value=1
key=colour,   value=3
key=now,   value=96
key=diagrams,   value=1
key=forms,   value=21
key=consider   value=32
key=opposition.)   value=2
key=shows   value=48
key=beginner,   value=1
key=however.   value=3
key=_even_   value=1
key=thereby   value=6
key=comparatively   value=15
key=let   value=164
key=_odd_   value=1
key=opponent   value=17
key=turn   value=46
key=proof   value=22
key=permit   value=2
key=effect   value=22
key=!   value=40
key=ch;   value=22
key=as,   value=19
key=turning   value=35
key=mate_,   value=1
key=although   value=30
key=_white   value=1
key=ahead   value=33
key=worthless.   value=1
key=31.--in   value=1
key=chief   value=23
key=choice   value=12
key=example,   value=6
key=return   value=45
key=be,   value=56
key=compared   value=15
key=to-day   value=90
key=tchigorin,   value=1
key=made   value=234
key=position_,"   value=1
key=winning.   value=2
key=colour-squares   value=1
key=limited   value=24
key=commands.   value=1
key=particularly   value=14
key=_whenever   value=1
key=exigencies   value=3
key=35.--now   value=1
key=command,   value=8
key=36.--in   value=1
key=thus,   value=13
key=decided   value=15
key=difficulty   value=9
key=hope   value=48
key=best.   value=11
key=attacked,   value=2
key=folly.   value=2
key=proposes   value=1
key=future   value=101
key=39.--in   value=1
key=board:   value=1
key={60}   value=1
key=ways   value=28
key=accord   value=2
key=possible_   value=1
key=methodically   value=1
key=fifty   value=46
key=skilfully   value=2
key=moment   value=105
key=afresh.)   value=1
key=deduce   value=1
key=required,   value=1
key=trap.)   value=1
key=3...r   value=3
key=similar.   value=1
key={65}   value=1
key=looking   value=61
key=leads   value=8
key=endings.   value=2
key=range   value=27
key={67}   value=1
key=games.   value=1
key=form.   value=8
key=find,   value=5
key=quickly,   value=4
key=stopping   value=20
key=perpetual   value=7
key=beautiful   value=72
key=resigns   value=23
key=behind.   value=3
key=5)   value=5
key=played:   value=2
key={72}   value=1
key=occurrence   value=4
key={73}   value=1
key=game._   value=1
key=48.--black   value=1
key=regain   value=8
key=slight   value=24
key=had,   value=11
key=recover   value=5
key=indeed,   value=102
key=courses   value=2
key=enough,   value=32
key={76}   value=1
key=combinations.   value=1
key=player.   value=1
key=offered,   value=1
key=necessary;_   value=1
key=precision._   value=1
key={77}   value=1
key=relation   value=8
key=equal,   value=2
key=develops   value=2
key=failing   value=8
key=relinquishes   value=1
key=assured   value=9
key=thrust;   value=1
key=victory.   value=3
key=resulting   value=4
key=improving   value=1
key=period   value=23
key=guarantee   value=1
key=absolute   value=26
key=failure   value=9
key=diagram:   value=1
key=14...p   value=2
key=two);   value=1
key=(q   value=11
key=case;   value=2
key={81}   value=1
key=wide   value=34
key=prize   value=4
key=follows:--   value=1
key=(r   value=6
key=7)   value=2
key=note   value=33
key=coming   value=75
key=full   value=194
key=broken   value=33
key=attack,   value=13
key=position;   value=2
key=something,   value=10
key=provide   value=22
key=overlook,   value=1
key=effect,   value=7
key=manoeuvres   value=6
key={83}   value=1
key=52.--played   value=1
key=(french   value=1
key=venezuelan   value=1
key={84}   value=1
key=twice   value=26
key=better.   value=9
key=held   value=55
key={85}   value=1
key=faulty.   value=2
key=(not   value=20
key=create   value=7
key=untenable,   value=2
key={86}   value=1
key=tempting   value=1
key=anticipated,   value=1
key=white.   value=6
key=demonstrates.   value=1
key=deciding   value=3
key={88}   value=1
key=33   value=2
key=commenting   value=1
key=upon   value=337
key=involving   value=3
key=while,   value=14
key=(ruy   value=1
key=q3   value=1
key=concerned   value=3
key=passed,   value=5
key=hole   value=7
key=exchange,   value=5
key=manoeuvring   value=2
key=sound   value=63
key=dangerous   value=9
key=force.   value=2
key=prepared,   value=1
key=besides,   value=16
key=2)   value=10
key={93}   value=1
key=anticipated   value=1
key=fine.   value=5
key=adjourned   value=1
key=43.   value=8
key=47.   value=4
key=51.   value=3
key=treated   value=14
key=action.   value=6
key={95}   value=1
key=1919.   value=1
key=winter.   value=3
key=which,   value=64
key=way.   value=20
key=attempts   value=7
key=doubt.[8]   value=1
key=placing   value=6
key=begins.   value=3
key=end-game,   value=1
key=pin   value=4
key=lost.   value=11
key=minus   value=3
key=energy   value=4
key=gains   value=7
key=notes   value=67
key=sir   value=28
key=foremost   value=4
key=alexander,   value=1
key=club   value=3
key=feature   value=14
key=request,   value=5
key=thomas'   value=1
key=declined.   value=1
key=(one   value=8
key=meeting   value=33
key=defences   value=2
key=extremely   value=7
key=places   value=25
key=p.)   value=2
key=originally   value=14
key={102}   value=1
key=(white   value=4
key=post   value=10
key=condition   value=27
key=dominating   value=7
key=facilitates   value=1
key=mainly   value=49
key=easier.   value=1
key={104}   value=1
key=presently.)   value=1
key=well-defined   value=1
key=scale,   value=8
key=disposal.   value=1
key=plan,   value=11
key=across   value=104
key=wing.   value=1
key=attack.)   value=2
key=worst   value=26
key=replied   value=5
key=safer   value=2
key={107}   value=1
key=masked   value=1
key=39   value=3
key={108}   value=1
key=39...q   value=1
key=rook--which   value=1
key=42   value=5
key=dis.   value=1
key=it.)   value=11
key=(example   value=1
key=lopez--in   value=1
key=accepted.   value=1
key=myself   value=105
key=finally--perhaps   value=1
key=efforts   value=13
key=endings;   value=1
key=world's   value=22
key=endings:   value=1
key=department   value=9
key=other,   value=37
key=idea,   value=8
key=support   value=24
key=mistake,   value=8
key=57.--another   value=1
key=possesses   value=3
key=freely.   value=3
key=big   value=77
key=else   value=50
key=rid   value=10
key=decides   value=2
key=anything   value=94
key=r?   value=1
key=desires   value=2
key=hopeless   value=4
key=finesse,   value=1
key=chances;   value=1
key=drawn.   value=2
key=march   value=27
key=fighting   value=14
key=chance:   value=1
key=inexperienced   value=1
key=credit   value=12
key=master-play,   value=1
key=relax   value=2
key=(white)   value=1
key=happened,   value=3
key=careless   value=7
key={121}   value=1
key=defence.   value=4
key=evident.   value=1
key=mastered   value=1
key=manhattan   value=7
key=luckily   value=2
key=(_b_)   value=2
key=(b)   value=5
key=ending.   value=2
key=continuation   value=4
key=win;   value=1
key=fourth   value=14
key=why   value=50
key=impress   value=5
key=masters,   value=4
key=studying   value=9
key=doubt   value=50
key={128}   value=1
key=contented   value=5
key=disaster.   value=1
key=intended,   value=3
key=awaken   value=1
key=unaware   value=3
key=paralysed   value=1
key=before.   value=21
key=situation,   value=6
key=paralysed.   value=1
key=bottling-up   value=1
key={132}   value=1
key=avail.   value=1
key=61.--from   value=1
key={134}   value=1
key=clear   value=103
key={135}   value=1
key=accomplished.   value=2
key=necessary,   value=2
key=tie   value=15
key=tight   value=4
key=took,   value=2
key=terms--   value=1
key=needs   value=33
key=1907.   value=2
key=14)   value=1
key=subtle,   value=3
key=indirectly   value=13
key=getting   value=44
key=exhaust   value=2
key=discussion   value=8
key=formation   value=9
key=controlled   value=1
key=convenient.   value=1
key=64.--in   value=1
key=3),   value=1
key=paralyse   value=2
key=abstract   value=16
key=fifth   value=14
key=pairs.   value=1
key=respect   value=20
key=shall,   value=5
key=authoritatively   value=4
key=65   value=2
key=janowski-lasker   value=1
key=knights,   value=3
key=lodz   value=1
key=salwe.)   value=1
key=referred   value=1
key=returns   value=4
key=2...r   value=1
key=reveal   value=3
key=pivot   value=2
key=situation).   value=1
key=illustrated   value=7
key=created   value=10
key=declined.)   value=1
key=reasonable   value=4
key=possibility   value=9
key=shut   value=15
key=anything.   value=4
key=amounts   value=5
key=ideal,   value=11
key=advantageous   value=3
key=perhaps   value=194
key=enough   value=110
key=following:   value=4
key=onwards   value=2
key=done.   value=6
key=illustrations   value=7
key={159}   value=1
key=promising   value=3
key=slow   value=30
key=book.   value=4
key=good,   value=24
key=queen's-side   value=1
key={162}   value=1
key=16...k   value=1
key=finishes   value=3
key=introduced   value=5
key=gradually   value=22
key=principles,   value=5
key=poor   value=125
key={165}   value=1
key=unsound   value=1
key=_this_   value=2
key=exchange),   value=1
key=inevitable   value=10
key=legitimate   value=11
key=ease,   value=5
key={169}   value=1
key=sad   value=28
key=rubinstein's   value=1
key=played,   value=1
key=creating   value=18
key=manoeuvring.   value=1
key=definite   value=21
key=afraid   value=15
key=parts   value=47
key=govern   value=5
key={172}   value=1
key=she   value=479
key=preparatory   value=5
key=seen.   value=7
key=resigned   value=2
key={175}   value=1
key=side_   value=1
key=walter   value=18
key=unprotected   value=2
key=addition   value=9
key=evolve   value=1
key=putting   value=23
key="holes"   value=1
key=quicker   value=4
key=conducted   value=2
key=vindicate   value=1
key=(of   value=12
key=battle   value=26
key=doubled.   value=1
key=ahead,   value=13
key=eventualities,   value=1
key={184}   value=1
key=judgment.   value=3
key=claims   value=11
key={185}   value=1
key=neither   value=49
key=ambitious   value=4
key=17...p   value=2
key=advantage),   value=1
key=flounders   value=1
key=accurately,   value=1
key=irresolute   value=2
key=12th   value=1
key=whole,   value=17
key=suffered   value=6
key=presents   value=8
key=acts   value=9
key=strategically.   value=1
key=everything,   value=14
key=e.p.   value=1
key=indicated,   value=4
key=late,   value=13
key=turned.   value=2
key=spectators   value=3
key=near   value=132
key=54   value=1
key=53.   value=2
key=57.   value=2
key=chajes'   value=1
key={197}   value=1
key=stage.   value=5
key=solid.   value=1
key={200}   value=1
key=purposes,   value=11
key=exert   value=1
key=quite   value=179
key=gaining   value=3
key=complicates   value=1
key=reality.   value=1
key=feared   value=2
key=thought,   value=31
key={205}   value=1
key=withdraw   value=2
key=fray   value=1
key=valid   value=1
key={208}   value=1
key={209}   value=1
key=spur   value=2
key=knights'   value=1
key={211}   value=1
key=confess   value=18
key=pinned   value=1
key=disastrous,   value=1
key={213}   value=1
key=easily-won   value=1
key=longer.   value=5
key=elsewhere   value=4
key=world   value=135
key=opening.   value=1
key={217}   value=1
key=bunched   value=1
key={218}   value=1
key=threatening.   value=2
key=sixtieth   value=1
key=discussed   value=4
key=lasker,   value=1
key=bold   value=13
key=simplifies,   value=1
key=opened   value=19
key={224}   value=1
key=favoured   value=1
key={227}   value=1
key=freely   value=20
key=notices,   value=1
key=persists   value=1
key={230}   value=1
key=q7   value=1
key=castled,   value=1
key=san   value=9
key=judgment,   value=8
key=white's,   value=1
key=_unpin_   value=1
key=winter-capablanca   value=1
key={235}   value=1
key=retake.   value=1
key=services   value=4
key=himself,   value=40
key={238}   value=1
key=gambit.   value=1
key=considerably   value=3
key={240}   value=1
key=analysed,   value=1
key=believed   value=5
key=surprise   value=6
key=1),   value=1
key=so.   value=12
key=compared),   value=1
key=danger.   value=1
key=appreciated   value=3
key=itself.   value=17
key=disrupt   value=2
key={244}   value=1
key=fortunes   value=3
key=touch   value=30
key=incurring   value=1
key=(q3)   value=1
key=[3]   value=2
key=no.   value=14
key=80.)   value=1
key=varied   value=44
key=master.   value=6
key=defect   value=12
key=dislodging   value=1
key=capablanca-kupchick,   value=1
key=carlsbad   value=1
key=russian   value=3
key=gutenberg's   value=1
key=33870.zip   value=1
key=http://www.gutenberg.org/3/3/8/7/33870/   value=1
key=one--the   value=5
key=domain   value=27
key=(and   value=81
key=special   value=64
key=copying   value=9
key=trademark.   value=9
key=ebooks,   value=6
key=copies   value=23
key=purpose   value=41
key=performances   value=8
key=redistribution   value=6
key=please   value=24
key=(or   value=42
key=(available   value=2
key=reading   value=32
key=accept   value=11
key=agreement.   value=9
key=destroy   value=12
key=access   value=30
key=whom   value=62
key=gutenberg"   value=12
key=lot   value=21
key=1.e   value=3
key=("the   value=6
key=states.   value=24
key=copying,   value=6
key=references   value=6
key=name   value=83
key=share   value=15
key=country   value=80
key=status   value=14
key=1.e.1.   value=3
key=appear   value=25
key=associated)   value=3
key=viewed   value=4
key=derived   value=6
key=holder),   value=3
key=appearing   value=7
key=1.e.7   value=6
key=additional   value=20
key=1.e.4.   value=3
key=containing   value=5
key=perform,   value=3
key=convert   value=3
key=proprietary   value=3
key=plain   value=37
key=version   value=3
key=must,   value=11
key=exporting   value=3
key=specified   value=9
key=provided   value=24
key=profits   value=4
key=taxes.   value=3
key=donate   value=6
key=60   value=8
key=prepare)   value=3
key=sent   value=67
key=money   value=44
key=receipt   value=9
key=physical   value=42
key=replacement   value=15
key=group   value=19
key=1.f   value=3
key=expend   value=4
key=transcribe   value=4
key=efforts,   value=4
key=inaccurate   value=3
key=errors,   value=4
key=disk   value=5
key=codes   value=3
key=disclaimer   value=9
key=described   value=19
key=liability   value=3
key=legal   value=10
key=liability,   value=6
key=1.f.3.   value=6
key=actual,   value=3
key=punitive   value=3
key=any)   value=3
key=explanation.   value=5
key=electronically,   value=3
key='as-is'   value=2
key=merchantibility   value=1
key=implied   value=4
key=interpreted   value=4
key=unenforceability   value=3
key=1.f.6.   value=3
key=employee   value=3
key=occur:   value=3
key=deletions   value=3
key=variety   value=12
key=middle-aged   value=13
key=life   value=159
key=critical   value=10
key=generations   value=16
key=help,   value=7
key=501(c)(3)   value=5
key=mississippi   value=30
key=service.   value=8
key=identification   value=3
key=contributions   value=16
key=state's   value=3
key=s   value=8
key=scattered   value=6
key=north   value=101
key=lake   value=13
key=(801)   value=3
key=http://pglaf.org   value=4
key=executive   value=5
key=survive   value=4
key=machine   value=6
key=equipment.   value=3
key=maintaining   value=6
key=charities   value=3
key=requirements.   value=3
key=compliance.   value=3
key=solicitation   value=3
key=unsolicited   value=3
key=accepted,   value=4
key=current   value=65
key=accepted   value=21
key=visit:   value=4
key=originator   value=3
key=years,   value=69
key=volunteer   value=3
key=included.   value=3
key=pg   value=3
key=subscribe   value=3
key=christmas   value=18
key=www.gutenberg.org/license   value=3
key=iso-8859-1   value=2
key=generously   value=2
key=door!"   value=5
key=286_]   value=1
key=illustrations_   value=1
key=15,   value=4
key=reserved_)   value=1
key=sexes,   value=7
key=adventures   value=2
key=157   value=1
key=rain   value=22
key=guitar   value=18
key=_frontispiece_   value=1
key=oke   value=12
key=turned   value=55
key=trecarrel   value=16
key=iii.   value=3
key=chimed   value=6
key=jugglings,   value=1
key=knaves,   value=2
key=celestial   value=1
key=town   value=25
key=eve,   value=3
key=servants   value=3
key=house.   value=15
key=sure,   value=15
key=falstaff,   value=2
key=friends;   value=2
key=gallery   value=9
key=leaned   value=14
key=left-hand   value=4
key=countryman   value=20
key=laughter   value=10
key=care,   value=2
key=broke   value=37
key=applause.   value=1
key=dropping   value=10
key=handkerchief   value=6
key=shoot   value=2
key=miss,   value=1
key=mystified   value=1
key=curtains   value=8
key=forehead   value=4
key=shouts   value=5
key=flung   value=26
key=recited--   value=2
key=paused   value=7
key=thunder   value=11
key=eyes   value=154
key="come,   value=3
key=indifferent   value=2
key=entrance   value=17
key=worthy   value=29
key=sixpenny   value=2
key=pit   value=5
key=sight   value=84
key=out;   value=6
key=wag   value=1
key=meaning,   value=3
key=leaning   value=17
key=huntsman   value=1
key=performance   value=11
key=sensibly   value=1
key=river-fog   value=1
key=theatre,   value=11
key=lackeys   value=2
key=balcony   value=4
key=christian   value=10
key=nuts.   value=1
key=criss-crossed   value=1
key=v.   value=2
key=looming   value=6
key=remote   value=2
key=cutpurse,   value=1
key=_cantat   value=1
key=steaming   value=5
key=mayor's   value=2
key=henry's   value=2
key=unstopped   value=1
key=pistol,   value=1
key=boot-and-saddle,   value=1
key=favour.   value=1
key=stamped   value=1
key=cold   value=27
key=doll   value=1
key=meant   value=24
key=fog,   value=4
key=rending   value=1
key=blood   value=37
key=meditatively,   value=1
key=lips   value=16
key=hist,   value=1
key=apprentice.   value=2
key=peered   value=5
key=hi,   value=2
key=tell   value=131
key="give   value=2
key=tragedy.   value=3
key=too,   value=119
key=tongue   value=11
key=good-night:   value=1
key=pray   value=7
key=lanterns   value=5
key=dissolved   value=1
key=remarked   value=1
key=stowed   value=3
key=fellow   value=38
key=merry   value=9
key=cast   value=33
key=love   value=77
key=sack   value=1
key=liefer   value=2
key='who's   value=1
key=what-d'ye-lack--will   value=1
key=college's   value=1
key=cheeks   value=9
key=it?   value=5
key=breek   value=1
key=spreading   value=10
key=sir:   value=3
key=unserviceably   value=1
key=liberty   value=12
key=duty   value=13
key=rarity   value=1
key=gape   value=1
key=me,   value=155
key=liking   value=3
key=purse,   value=1
key=dog   value=5
key=unstrapped   value=2
key=silver   value=29
key=cheapside   value=1
key=money,   value=18
key=promise   value=13
key=to-night,   value=13
key=gallant   value=4
key=gods!   value=1
key=lad,   value=15
key=guessed   value=2
key=london;   value=1
key=clay,   value=6
key=summon   value=2
key=townes   value=1
key=pilgrimage   value=1
key=dicunt   value=1
key=disappoint   value=1
key=measures   value=2
key=rough   value=15
key=smile.   value=6
key=kind.   value=11
key=shall.   value=2
key=inheritance.   value=1
key=scoffed   value=3
key=beyond   value=109
key=daylight,   value=5
key=said;   value=5
key=haled   value=1
key=_you_   value=5
key=chin,   value=2
key=grandmother   value=3
key=bankside----"   value=1
key="say   value=1
key=lads   value=9
key=you--a   value=1
key=paul's   value=3
key=bankside:   value=1
key=pawning   value=1
key=warning   value=15
key=plague   value=2
key=applauded:   value=1
key=cometh   value=1
key=shine   value=5
key=lad   value=18
key=hast   value=7
key=woman   value=61
key=slapped   value=2
key=master,   value=5
key=instant   value=22
key=somedel   value=1
key=kenning:   value=1
key=stretched   value=9
key=me----   value=2
key=bored   value=1
key=for.   value=5
key=crowbars,   value=1
key=sockets   value=3
key=don't   value=89
key=they?   value=2
key=lad,"   value=3
key=him?   value=9
key=courteous,   value=3
key=never.   value=2
key=afternoon,   value=30
key=foot   value=32
key=beginning;   value=1
key=persuaded   value=2
key=yawn   value=1
key=though,   value=6
key=midriff   value=1
key=below?"   value=1
key=workmen   value=6
key=understanding,   value=4
key=unfold   value=1
key=burbages,   value=1
key=company   value=56
key=loved   value=23
key=dignified   value=2
key=agone   value=1
key=nodded,--"though   value=1
key=cuthbert   value=4
key=gravity   value=4
key=well,   value=87
key=say)   value=2
key=ground   value=48
key=nodded   value=16
key=lease,   value=1
key=fell   value=52
key=enjoy   value=11
key=jerusalem   value=3
key=bishopsgate   value=1
key=who--to   value=1
key=precisian,   value=1
key=truce   value=1
key=stretch   value=20
key=christmas--the   value=1
key=counterstroke.   value=1
key=clink   value=2
key=church,   value=9
key=slush   value=2
key=dozen   value=34
key=midnight   value=15
key=rascals   value=1
key=head,   value=31
key=oh--oh--oh!   value=1
key=s-sol-ol-ol-emn   value=1
key=know,"   value=5
key=country:   value=1
key=feet;   value=5
key=body   value=60
key=indignation.   value=1
key=tarry   value=3
key=say.   value=4
key=master:   value=2
key=bellowing.   value=1
key=open-mouthed   value=1
key=ghostly   value=2
key=dangled   value=2
key=perhaps,   value=31
key=disordered   value=3
key=dropped,   value=1
key=arrival   value=4
key=rail   value=5
key=dull   value=16
key=stairs   value=10
key=forty   value=25
key=whirl   value=9
key=hammer   value=5
key=boanerges;   value=1
key=sober-looking   value=1
key=leave,   value=5
key=snatched   value=4
key=hands,   value=15
key=now,"   value=5
key=marry   value=3
key="for   value=6
key=others?   value=1
key=dick   value=12
key=windle-straw   value=1
key=high.   value=8
key=extraordinarily   value=2
key=way--timbers   value=1
key=stacked   value=1
key=paint   value=9
key=lantern   value=9
key=miscarried,   value=1
key=tom--but   value=1
key=darkness   value=27
key=stacking   value=1
key=going?   value=1
key=coming,   value=2
key=dish-clout;   value=1
key=scoundrels   value=2
key=unload   value=3
key=lad.   value=3
key=descended   value=9
key=extra,   value=1
key=told   value=82
key="when   value=3
key=you:   value=6
key=boggled   value=1
key=you----   value=5
key=run   value=36
key=what's   value=17
key=theatre:   value=1
key=one-tenth   value=3
key=scarce   value=7
key=oh,   value=29
key=habitation   value=1
key=babylon   value=1
key=heels   value=7
key=didymus,   value=1
key=wheels?   value=1
key="_he's_   value=1
key=roadway   value=4
key=hoofs   value=5
key=_above   value=1
key=renowne   value=1
key=preclare   value=1
key=swan   value=2
key=barge   value=3
key=better--a   value=1
key=boat....   value=1
key=weight   value=8
key=gr-r-r!   value=1
key=corners?   value=1
key=water   value=42
key=boat   value=43
key=windows   value=18
key=long-shore   value=1
key=night-rails....   value=1
key=matter....   value=1
key=aflame   value=1
key=ship   value=32
key=patrone   value=1
key=who-oop   value=1
key=listened,   value=1
key=you--clean   value=1
key=stone   value=20
key=muses,'   value=1
key=pyrrhus   value=1
key=mine   value=27
key=lodged   value=1
key=tide.   value=1
key=praised   value=1
key=arm,   value=10
key=troy's   value=1
key=fool   value=6
key=fire   value=28
key=i?"   value=1
key=gate.   value=3
key=wagoners'   value=1
key=sea-way,   value=1
key=(meaning   value=1
key=dwellis_   value=1
key=_fresh   value=1
key=wele   value=1
key=belly,   value=2
key="and   value=30
key=fullness   value=4
key=bell,'   value=1
key=gate-posts   value=1
key=knocker   value=1
key=tyde-a   value=1
key=adam   value=6
key=warely,   value=1
key=porter   value=4
