key=of   value=2526
key=than   value=115
key=my   value=498
key=bolt   value=6
key=say,   value=16
key=good   value=122
key=mile."   value=1
key=mystified.   value=1
key=before   value=99
key=showed   value=18
key=curtains   value=3
key=fidgeted   value=1
key=nervously,   value=1
key=now,   value=32
key=forehead   value=1
key=December   value=1
key=air.   value=5
key=shouts   value=3
key=seemed   value=40
key=astonish   value=1
key=him.   value=41
key=example,   value=3
key=player   value=18
key=impressively   value=1
key=heaven   value=3
key=we   value=201
key=mean   value=17
key=build,   value=1
key=We   value=46
key=survey   value=2
key=then   value=101
key=draw   value=20
key=model_--   value=1
key=so   value=186
key=paused   value=4
key=smile,   value=7
key=side   value=88
key=house,   value=3
key=friend   value=20
key=rubbed   value=3
key=eyes   value=65
key=around   value=29
key=protest,   value=2
key=should   value=143
key="Come,   value=2
key=us   value=81
key=discriminate!"   value=1
key=By-and-by,   value=1
key=however,   value=35
key=grew   value=8
key=warmed   value=3
key=entrance   value=5
key=Falstaff   value=4
key=worthy   value=2
key=Olympian   value=1
key=moment   value=53
key=fops   value=1
key=sixpenny   value=2
key=stools   value=1
key=mimic,   value=1
key=called   value=52
key=out;   value=2
key=mass   value=5
key=audience   value=2
key=backed   value=3
key=encouragement.   value=2
key=Some   value=13
key=hailed   value=2
key="Burbage's   value=1
key=Landlord,"   value=1
key=apparently   value=10
key=meaning,   value=1
key=if   value=216
key=merit,   value=1
key=royally,   value=1
key=each   value=25
key=afterwards   value=6
key=waving   value=5
key=huntsman   value=1
key=laying   value=6
key=pace   value=7
key=o'clock)   value=1
key=sensibly   value=1
key=midway   value=2
key=IV.,   value=1
key=edge   value=10
key=grey   value=9
key=overlapped   value=1
key=upon   value=112
key=unroofed   value=1
key=theatre,   value=3
key=voices   value=10
key=call   value=27
key=dozen.   value=1
key=hung   value=3
key=others   value=19
key=disposed   value=4
key=both   value=55
key=stage,   value=5
key=chaffing   value=1
key=them   value=137
key=affectionately   value=1
key=lantern-rays   value=1
key=separate   value=1
key=actors   value=1
key=V.   value=1
key=luminous   value=2
key=large,   value=2
key=incredibly   value=1
key=An   value=10
key=idle   value=4
key=seated   value=15
key=game   value=108
key=stop   value=17
key=unstop   value=1
key=search   value=9
key=pockets.   value=2
key=vacuus_:   value=1
key=apprentice   value=39
key=felt   value=16
key=went   value=73
key=Whenever   value=1
key=ears   value=10
key=steaming   value=2
key=breath   value=6
key=reminded   value=4
key=labels   value=1
key=He   value=255
key=during   value=10
key=King   value=142
key=reconciliation   value=1
key=Gascoigne,   value=1
key=when   value=150
key=reappeared--Falstaff   value=1
key=agog   value=2
key=boot-and-saddle,   value=1
key=salute   value=2
key=rising   value=3
key="Welcome   value=1
key=pleasant   value=3
key=days!"   value=1
key=clapped,   value=1
key=also   value=58
key=were   value=175
key=What   value=27
key=Surely   value=2
key=hold   value=21
key=Doll   value=1
key=Tearsheet?   value=1
key=Poor   value=2
key=souls,   value=1
key=plaguy   value=1
key=yet,   value=8
key=fog,   value=2
key=play   value=153
key=sudden   value=12
key=become   value=12
key=savagely   value=1
key=was,   value=13
key=sawdust,   value=1
key=real   value=12
key=blood.   value=1
key=peeled   value=1
key=glance   value=19
key=bench.   value=1
key=cackled,   value=1
key=lips   value=5
key=like   value=120
key=yellow   value=4
key=teeth.   value=1
key="Hist,   value=1
key=thou   value=13
key="Canst   value=1
key='tis   value=20
key=rascal   value=1
key=peered   value=5
key=nudged   value=2
key="Hi,   value=2
key=Breeds   value=1
key=your   value=245
key=common   value=9
key=home   value=34
key=cannot   value=85
key=tell   value=85
key=tickling   value=2
key=roasting?"   value=1
key=nut.   value=1
key=time,"   value=2
key="I   value=127
key=tragedy.   value=1
key=Yours,   value=1
key=too,   value=37
key=long   value=47
key=II   value=8
key="_My   value=1
key=tongue   value=3
key=weary:   value=1
key=legs   value=16
key=down   value=184
key=you;   value=4
key=indeed   value=9
key=pray   value=5
key=Queen._"   value=1
key=dance,   value=5
key=drawn,   value=3
key=lanterns   value=5
key=hidden   value=5
key=behind   value=49
key=themselves   value=19
key=into   value=187
key=fog.   value=2
key="A   value=23
key=fellow,"   value=2
key=remarked   value=1
key=one,   value=21
key=vacant   value=3
key=seat   value=8
key=stowed   value=3
key=me   value=223
key=rustic?"   value=1
key=fellow   value=20
key=answered   value=41
key=dryly.   value=1
key=even   value=58
key=took   value=96
key=face   value=40
key=glow   value=3
key=which,   value=18
key=cast   value=15
key=upward   value=3
key=over   value=129
key=across   value=72
key=gallery.   value=1
key=love   value=20
key=wit,   value=2
key=Sir,   value=49
key=wherever   value=2
key=meet   value=18
key=pint   value=4
key=sack   value=1
key=choose   value=11
key=tavern!"   value=1
key=you,   value=50
key=liefer   value=2
key=epilogue   value=2
key='Who's   value=1
key=pay?'"   value=1
key=Master   value=8
key=What-d'ye-lack--will   value=1
key=you?   value=3
key=take   value=88
key=same   value=93
key=puffed   value=3
key="So-so?"   value=1
key="_When   value=1
key=goes   value=20
key=Either   value=3
key=effect."   value=1
key=fumbling   value=3
key=pockets,   value=1
key=drew   value=25
key=blankly,   value=1
key=fingers.   value=4
key=neighbour,   value=1
key=Sir:   value=3
key=clever   value=6
key=enough   value=30
key=albeit   value=5
key=wish   value=16
key=acquaintance   value=4
key=warn   value=6
key=merest   value=1
key=duty."   value=1
key="La,   value=3
key=London   value=13
key=sneaking   value=1
key=rarity   value=1
key=poor   value=63
key=pays   value=2
key=twopence   value=1
key=gape   value=1
key=fought   value=6
key=hard   value=10
key=Before   value=8
key=master   value=13
key=fear   value=8
key=inches   value=3
key=wife   value=15
key=(who   value=3
key=liking   value=3
key=me),   value=1
key=taught   value=5
key=purse,   value=1
key=head   value=43
key=what   value=111
key=lean   value=1
key=bone."   value=1
key=bench,   value=3
key=unstrapped   value=2
key=silver   value=7
key=piece.   value=3
key=Warwickshire   value=4
key=beholden   value=1
key="Put   value=2
key=boy;   value=1
key=need   value=13
key=money,   value=5
key=lad:   value=3
key=spirit   value=5
key=offer,   value=1
key=promise.   value=1
key=say?   value=2
key=am   value=50
key=town   value=12
key=roaring,   value=1
key=make   value=92
key=free   value=27
key=company:   value=2
key=hear   value=33
key=talk   value=27
key=country!--for,   value=1
key=lad,   value=13
key=home."   value=3
key=it."   value=24
key="Nor   value=2
key=I.   value=15
key=wrong,   value=6
key=too:   value=1
key=passed   value=44
key=years,   value=7
key=ever   value=33
key=since,   value=5
key=summon   value=2
key=Whittington,   value=1
key='London,   value=1
key=townes   value=1
key=_a   value=3
key=Nay,   value=6
key=pilgrimage   value=1
key=came   value=97
key=son.   value=2
key=_Urbem   value=1
key=quam   value=1
key=dicunt   value=1
key=clodpate   value=1
key=rustic   value=1
key=none   value=11
key=disappoint   value=1
key=Give   value=3
key=all!   value=5
key='Tis   value=10
key=only   value=138
key=measures   value=1
key="And   value=41
key=interjected.   value=1
key=smooth,"   value=1
key=catholic   value=1
key=smile.   value=4
key=question   value=16
key=degrees,   value=2
key=dwelling   value=1
key=shall.   value=1
key=As   value=48
key=open   value=54
key=inheritance.   value=1
key=father!"   value=1
key=youth,   value=1
key=glistened.   value=2
key=wise   value=1
key=beyond   value=30
key=opportunities,   value=1
key=knew   value=34
key=walked   value=12
key=evil   value=4
key=thinks."   value=1
key=another;   value=3
key=sheriff,   value=1
key=mistress   value=6
key=thinks.'   value=1
key=hath   value=10
key=double   value=8
key=owns   value=7
key=fifty-five."   value=1
key="What,   value=3
key=Like   value=3
key=Nathless   value=1
key=hesitated:   value=1
key=dusk   value=6
key=shrewd   value=1
key="Say   value=3
key=risk   value=9
key=it?"   value=6
key=again.   value=26
key=cautious   value=1
key=you--a   value=1
key=Arms."   value=1
key=standeth   value=1
key=Paul's   value=2
key=closes   value=1
key=holiday.   value=1
key=coat-of-arms   value=2
key="Leave   value=1
key=once   value=71
key=more!"   value=2
key=below.   value=17
key=doing?   value=1
key=plague   value=1
key=hammering?   value=1
key=play."   value=2
key=play?"   value=1
key=true   value=18
key=applauded:   value=1
key=writ   value=1
key=Will   value=10
key=Shakespeare,   value=8
key=me--some   value=1
key=least.   value=3
key=Cometh   value=1
key=not,   value=14
key=way,   value=13
key=part   value=39
key=countryman's   value=1
key=appeared   value=9
key=tears.   value=1
key="Ay,   value=6
key=him,   value=50
key=though   value=53
key=mother   value=6
key=wept   value=1
key=wild   value=6
key=one.   value=9
key=Hast   value=2
key=duckling   value=1
key=water?   value=1
key=So   value=33
key=haply,   value=1
key=genius."   value=1
key=leg.   value=1
key=it!"   value=5
key="Hey?"   value=2
key=words.   value=2
key=him:   value=11
key=belonged   value=5
key=Nearer   value=1
key=get,   value=1
key=unless   value=23
key=more."   value=1
key=gone   value=17
key=ken,   value=1
key=living   value=6
key=kenning:   value=1
key=father   value=11
key=begotten   value=1
key=world,   value=2
key=Tell   value=4
key=gallery-rail   value=1
key=scanning   value=1
key=trifle   value=6
key=conversation   value=1
key=other,   value=7
key=for.   value=3
key=Somebody   value=1
key=decked   value=1
key=busy   value=1
key=levering   value=1
key=wooden   value=5
key=supports   value=1
key=sockets.   value=1
key=lift   value=9
key=pack   value=3
key=night,   value=7
key=do   value=116
key=Or   value=3
key=harass   value=1
key=feel   value=12
key="why   value=2
key=accost   value=1
key=him?   value=4
key=streets;   value=1
key=has,   value=2
key=courteous,   value=1
key=easy   value=10
key=manner."   value=1
key=secret   value=5
key=one!   value=1
key=fear--that   value=1
key=miss   value=6
key=never.   value=1
key=dare   value=7
key=either   value=57
key=want   value=27
key=saw,   value=6
key=afternoon,   value=4
key=how,   value=5
key=within   value=46
key=grasp,   value=1
key=having   value=64
key=know   value=59
key=foot   value=21
key=left   value=49
key=laughed!   value=1
key=bred   value=3
key=beginning;   value=1
key=cruel,   value=1
key=merely   value=14
key=right:   value=1
key=forget   value=4
key=hand   value=63
key=hide   value=1
key=yawn   value=1
key=slow   value=9
key=chuckle.   value=1
key="Eh?   value=1
key=served   value=3
key=truth,   value=6
key=heed   value=3
key=last   value=67
key=scene,   value=2
key=sore   value=2
key=laughing."   value=1
key=impatiently.   value=2
key="Are   value=4
key=taking   value=30
key=pieces?"   value=1
key=regiment   value=7
key=neither.   value=1
key=come   value=88
key=understanding,   value=1
key=understood   value=7
key=They   value=65
key=_The   value=5
key=Be   value=1
key=unfold   value=1
key=James,   value=5
key=year   value=17
key=High   value=1
key=Bailiff;   value=1
key=Guildhall.   value=1
key=Though   value=7
key=arts--even   value=1
key=length   value=8
key=losing   value=6
key=much   value=65
key=boon   value=1
key=James!   value=1
key=see--was   value=1
key=agone?   value=1
key=news   value=7
key=week."   value=1
key=too,"--the   value=1
key=nodded,--"though   value=1
key=Richard.   value=1
key=Cuthbert   value=4
key=serve,   value=1
key=ripe   value=1
key=memory   value=5
key=lines.   value=4
key=bell   value=5
key=say)   value=2
key=sons   value=1
key=ground   value=7
key=leased   value=1
key=follow   value=23
key=me?"   value=3
key=nodded   value=11
key=skinflint,   value=1
key=lease,   value=1
key=If   value=136
key=refuse   value=1
key=fell   value=26
key=gods   value=1
key=witness.   value=1
key=acquainted   value=3
key=players,   value=3
key=little   value=92
key=affliction   value=1
key=shares   value=1
key=rang   value=8
key=woes   value=2
key=Jeremy   value=1
key=river,   value=6
key=cursings   value=1
key=humour   value=1
key=it--is   value=1
key=precisian,   value=1
key=near   value=22
key=playhouse.   value=1
key=ending   value=33
key=rent   value=4
key=demands.   value=2
key=To-morrow--or,   value=1
key=after,   value=2
key=Christmas--the   value=1
key=word   value=28
key=yielding   value=1
key=counterstroke.   value=1
key=bought   value=2
key=plot   value=1
key=water,   value=6
key=Liberty:   value=1
key=to-morrow,   value=2
key=pass   value=11
key=deep   value=11
key=rumbling   value=1
key=wagons   value=3
key=cart   value=2
key=bridge   value=10
key=proper   value=34
key=Thespis.   value=1
key="Oh--oh--oh!   value=1
key=Hold   value=1
key=sides,   value=2
key=keep   value=50
key=st-staring   value=1
key=Don't--oh,   value=1
key="Now   value=5
key=know,"   value=5
key=murmured   value=2
key=kind   value=10
key=jest   value=3
key=country:   value=1
key=and,   value=79
key=by'r   value=1
key=deep!"   value=1
key=heaved   value=5
key=expanded   value=1
key=O's;   value=1
key=body   value=23
key=itself   value=19
key=gigantic   value=1
key=indignation.   value=1
key=villain!   value=2
key=curmudgeonly   value=1
key=talking,   value=1
key=things   value=21
key=done   value=33
key=England!   value=1
key=Nabal,   value=1
key=say.   value=3
key=hammer!"   value=2
key=enormous   value=7
key=bestrode   value=1
key=there.   value=6
key=bellowing.   value=1
key=gang   value=4
key=proscenium   value=1
key=stared   value=19
key=open-mouthed   value=1
key=gloom--a   value=1
key=ring   value=7
key=upturned   value=2
key=perhaps,   value=7
key=gallery,   value=2
key=disordered   value=3
key=benches.   value=1
key=gannet   value=1
key=dropped,   value=1
key=eloquent   value=1
key=timber   value=3
key=reported   value=4
key=regain   value=7
key=scramble   value=2
key=second   value=36
key=Followed   value=1
key=silence,   value=5
key=dull   value=7
key=stairs   value=7
key=maybe,   value=8
key=already,   value=3
key=stripped   value=1
key=shirt,   value=2
key=dust   value=2
key=hammer   value=4
key=shouting   value=7
key=loudest.   value=1
key=possessed,   value=1
key=transformed,   value=1
key=Boanerges;   value=1
key=caught   value=29
key=douce,   value=1
key=doublet,   value=1
key=watching   value=9
key=active   value=6
key=leave,   value=4
key=determined   value=5
key=it,"   value=11
key=man,   value=42
key=surrendering   value=1
key=snatched   value=4
key=thrust   value=14
key=spat   value=2
key=hands,   value=5
key=poise.   value=1
key=odd,   value=1
key="but   value=13
key=methinks   value=1
key="Marry   value=1
key=that,"   value=8
key="for   value=4
key=erewhile."   value=1
key=Tom!   value=1
key=Tom,   value=2
key=Dick   value=8
key=frail,   value=1
key=thin   value=8
key=windle-straw   value=1
key=coughing   value=1
key=rays   value=3
key=haggard,   value=1
key=picked   value=11
key=way--timbers   value=1
key=heaped   value=3
key=yard   value=5
key=boundary   value=1
key=daubed   value=1
key=paint,   value=1
key=gilded   value=1
key=wholly   value=2
key=swung.   value=1
key=already?   value=1
key=then?"   value=3
key="Miscarried?   value=1
key=Tom--but   value=1
key=others?"   value=1
key=jerked   value=3
key=darkness   value=8
key=stacking   value=1
key=beams!   value=1
key=work   value=90
key=galley-slaves,   value=1
key=going?   value=1
key=Look   value=1
key=busy-all   value=1
key=load   value=2
key=My   value=36
key=clings   value=2
key=o'   value=15
key=many   value=46
key=scoundrels   value=2
key=pieces   value=60
key=Thames   value=1
key=faster   value=2
key=unload   value=3
key=kernel   value=1
key=story,   value=2
key=lad.   value=3
key=rogues   value=4
key=agreed   value=9
key=more   value=151
key=raised   value=15
key=number   value=22
key=extra,   value=1
key=told   value=30
key=Legion."   value=1
key=sadly,   value=1
key=you:   value=5
key=pocket   value=7
key=rest   value=20
key=you've   value=21
key=to-night's   value=2
key="There   value=12
key=you----"   value=7
key=tut,   value=1
key=pull   value=7
key=yourself   value=9
key=together   value=18
key=you.   value=13
key=what's   value=9
key=Shoreditch."   value=1
key=naught   value=3
key=lost   value=24
key=theatre:   value=1
key=drunk,   value=4
key=Nashe--no,   value=1
key=seeing   value=7
key=scarce   value=5
key="Down?   value=1
key="Level   value=1
key=you--his   value=1
key=site   value=9
key=habitation   value=1
key=satyr.   value=1
key=illa   value=2
key=token,   value=1
key=Didymus,   value=1
key=doubting   value=2
key=rumble   value=3
key=Lord!"   value=2
key=heavily.   value=1
key=there,   value=19
key=high   value=20
key=ryvers   value=1
key=renowne,   value=1
key=wallys   value=1
key=downe,   value=1
key=swan   value=1
key=doth   value=6
key=swymme   value=1
key=wyngis   value=1
key=sail   value=3
key=are_----   value=1
key=cobbles!--we   value=1
key=step   value=4
key=boat....   value=1
key=agrees   value=1
key=weight....   value=1
key=_Where   value=2
key=aund   value=1
key=are_--   value=1
key=thee   value=15
key=wagoner,   value=2
key=kerbstones   value=1
key=corners?   value=1
key=dark....   value=1
key=Lights   value=1
key=Bankside   value=11
key=me....   value=1
key=Surrey   value=1
key=boat   value=21
key=stone-bow,   value=1
key=breaking   value=12
key=long-shore   value=1
key=queans   value=1
key=matter....   value=1
key=aflame   value=1
key=are;   value=1
key=ship   value=10
key=compare,   value=1
key=flow'r   value=1
key=Cities   value=1
key=name   value=29
key=Nashe,   value=4
key=arm.   value=5
key=you--clean   value=1
key=gallery--and   value=1
key=weighs   value=1
key=eighteen   value=4
key=ounce.   value=1
key=servant,   value=3
key=ravening   value=1
key=mine   value=9
key=bowels   value=3
key=lodged   value=1
key=Within   value=2
key=Philip   value=1
key=Gosson   value=1
key=arm,   value=7
key=he's   value=16
key=portent!   value=1
key=Troy's   value=1
key=Bankes's   value=1
key=fool   value=5
key=Samson   value=1
key=foxes,   value=1
key=fire   value=11
key=tails...."   value=1
key=Dick."   value=1
key=stay   value=5
key=are:   value=1
key=escaping   value=2
key=gate   value=6
key=huge   value=1
key=shadow   value=5
key=sea-way,   value=1
key="_Strong   value=1
key=wallis   value=1
key=(meaning   value=1
key=Clink,   value=1
key=people   value=8
key=(which   value=4
key=_Fresh   value=1
key=wele   value=1
key=sounding   value=3
key=belly,   value=1
key=voice;   value=1
key="and   value=17
key=redeem   value=2
key=shall,   value=3
key=fullness   value=1
key='but   value=1
key=dining   value=1
key=bell,'   value=1
key=says   value=73
key=proverb.   value=1
key=Grope,   value=1
key=gate-posts   value=1
key=courtlage,   value=1
key=knocker.   value=1
key=_And   value=1
key=mery   value=1
key=Carleile   value=1
key=shut   value=10
key=syde-a._   value=1
key=Adam   value=3
key=Bell   value=1
key=bete   value=1
key=With   value=29
key=stronge-a_   value=1
key=Step   value=3
key=Plague   value=1
key=Have   value=2
key=porter   value=4
key=thereat,   value=1
key=wrange   value=1
key=two-a,   value=1
key=depe   value=1
key=dungeon,   value=1
key=keys   value=2
key=gentlemen,   value=5
key=appears?   value=1
key=mercy,   value=1
key=Sirs."   value=1
key="For   value=3
key=forward.   value=7
key=print,   value=1
key=Parliament."   value=1
key="Yet   value=5
key=Diogenes   value=1
key=gentleman.   value=3
key=honest   value=7
key=met.   value=2
key=I'   value=1
key=very   value=166
key=doublet.   value=1
key="Or,   value=1
key=Burbage.   value=4
key=honourable   value=5
key=calling,   value=1
key=detail   value=1
key=speech-making,   value=1
key=supper's   value=1
key=bespoken."   value=1
key=Witwold's,   value=1
key=corner   value=13
key=Sir.   value=4
key=suit   value=8
key=rather   value=14
key=whom   value=17
key=word."   value=2
key=welcome,   value=3
key=man:   value=4
key=condescended   value=1
key=roof   value=13
key=tasted   value=1
key=belike   value=1
key=child,   value=7
key=prosperous   value=1
key=days   value=35
key=past--nay,   value=1
key=wonder   value=6
key=remembered   value=3
key=pleasure   value=6
key=find   value=54
key=branch   value=1
key=I,   value=36
key="Faith!"   value=1
key=himself,   value=12
key="compliments   value=1
key=meet."   value=1
key=company,   value=4
key=prospect   value=1
key=thrilled   value=1
key=lantern.   value=2
key=yet.   value=4
key=return   value=12
key=claim,   value=1
key=livelier   value=1
key=one----"   value=1
key="Tom   value=1
key=Nashe!   value=1
key=voice,   value=8
key=strong   value=13
key=masculine,   value=1
key="Anon,   value=1
key=quoted   value=1
key=swinging   value=5
key=mimicking.   value=1
key="Don't   value=3
key=voice.   value=6
key=hope   value=19
key=mercy:   value=1
key=moment."   value=3
key=tarry,   value=1
key=till   value=13
key='em.   value=1
key=managed,   value=1
key=help   value=32
key=Why,   value=3
key=hullo,   value=1
key=means----"   value=1
key=newcomer's   value=1
key=rested   value=9
key=Burbage,   value=2
key=stammered,   value=2
key=incredulous.   value=1
key=evening,   value=6
key=ye   value=4
key=son!   value=1
key=boy:   value=1
key=boy,   value=5
key=afternoon?   value=1
key=fore   value=2
key=John   value=19
key=there;   value=1
key=fish   value=3
key=lad;   value=1
key=father's   value=4
key=heart.   value=3
key=pretty   value=26
key=drollery--upon   value=1
key=faith,   value=1
key=neater!"   value=1
key=London?"   value=1
key="Business,   value=1
key=touch,   value=1
key=business   value=22
key=first.   value=5
key=lantern,   value=2
key=son,   value=5
key=look   value=46
key=hast   value=3
key=sobered,   value=1
key=cut--'twould   value=1
key=wear   value=4
key=beard.   value=1
key=Rest   value=1
key=property   value=6
key=frame,   value=2
key=eye,   value=5
key=bearing,   value=1
key=habitable--the   value=1
key=least;   value=1
key=west   value=2
key=repaired   value=1
key=enlarged   value=1
key=back-entrance.   value=1
key=garden   value=11
key=peas   value=1
key=apple-trees,   value=1
key=mulberry   value=1
key=likewise   value=2
key=again,   value=16
key=tell."   value=2
key=mended   value=1
key=thirty   value=6
key=pounds   value=6
key=wrote.   value=1
key=Mytton   value=1
key=security   value=3
key=offers   value=6
key=Shottery   value=1
key=land."   value=1
key=ale:   value=1
key=mortgage   value=1
key=brewhouse.   value=1
key=heard,   value=4
key=Burbage"--John   value=1
key=about--"of   value=1
key=goes--   value=1
key=_Who   value=1
key=buys   value=8
key=land   value=7
key=meat   value=2
key=bones,   value=2
key=eggs   value=1
key=else._   value=1
key=sets   value=1
key=bidden   value=3
key=gaping   value=1
key=discourse.   value=1
key=Here   value=14
key=Thespis,   value=1
key=riding   value=6
key=wagon:   value=1
key=feast?   value=1
key=spigots?   value=1
key=geese,   value=1
key=hogs-puddings,   value=1
key=trifles,   value=1
key=minstrels?   value=1
key=girls?   value=1
key=bucket   value=2
key=manger   value=2
key=wine   value=14
key=kickshaw   value=1
key=whatnots   value=1
key=viol   value=1
key=da   value=1
key=pleasantly   value=1
key=thrown   value=3
key=rheumy   value=1
key=drip   value=2
key=year's   value=1
key=Quiney   value=1
key=prices   value=2
key=dearth,"   value=1
key=knitting   value=1
key=brow   value=4
key=shillings,   value=1
key=malt   value=1
key=twenty-eight   value=1
key=nine   value=5
key=quarter.   value=2
key=round.   value=6
key=country,   value=3
key=beat   value=10
key=Heralds'   value=1
key=promised   value=7
key=lad--a   value=2
key=Call   value=1
key=twenty   value=8
key=times,   value=5
key=anything   value=11
key=forty-five   value=1
key="Well,   value=17
key=over."   value=2
key=study.   value=2
key=over,"   value=2
key=repeated   value=4
key=briskly,   value=2
key=added,   value=2
key=chimney,   value=1
key=lasted   value=1
key=years.   value=1
key=bricks?"   value=1
key=doubt,   value=6
key=businesslike   value=1
key=ways   value=6
key=scarcely   value=17
key=Shakespeare?   value=1
key=yoke   value=2
key=bullocks   value=5
key=Stamford   value=1
key=Fair?"   value=1
key="How   value=5
key=ewes   value=1
key=approached   value=2
key=gateway.   value=1
key=bide   value=3
key="Unpack,   value=1
key=Thames."   value=1
key=shin   value=1
key=plank,   value=1
key=cursed   value=3
key=violently.   value=1
key=friend,"   value=2
key=time   value=147
key=tenpence   value=1
key=man--mowers'   value=1
key=wagoner.   value=1
key="Depends   value=1
key=job.   value=2
key=I've   value=25
key=mates,   value=3
key=decent   value=6
key=men,   value=7
key=shifting   value=1
key=play-actors'   value=1
key=lief   value=1
key=wash   value=1
key=lucidly,   value=1
key=less."   value=1
key=blandly:   value=1
key=hey?   value=2
key="No,   value=13
key=hour   value=12
key=night.   value=4
key=live   value=8
key=clean,   value=1
key=eyed   value=8
key=hear."   value=1
key=sorts.   value=1
key=No   value=8
key="Aught   value=1
key=else?"   value=1
key="Ay:   value=1
key=dogs   value=2
key=baying   value=3
key=yonder."   value=3
key="Right   value=4
key=again:   value=4
key=nearer   value=7
key=bears,   value=1
key=inside   value=15
key=minute   value=14
key=two-pennyworth."   value=1
key=lantern-light.   value=1
key=quiet,   value=1
key=Only   value=4
key=pricked,   value=1
key=shivered   value=2
key=offence,   value=2
key=Sir;   value=5
key=you'll   value=16
key=understand,"   value=1
key=stammered.   value=1
key=sharp,   value=2
key=scornful   value=2
key=caused   value=1
key=crowds   value=3
key=growled.   value=1
key=dung-hill,   value=1
key=e'en   value=1
key=e'er   value=1
key=thought.   value=3
key=I'll   value=18
key=You're   value=4
key=muck   value=1
key=play-actors,   value=1
key=charge   value=18
key=washing.   value=1
key=Gr-r!"   value=1
key=spat--"ye're   value=1
key=Ward's   value=1
key=sow,   value=1
